cell_id,count,mean,std,min,25%,50%,75%,max
9227,21.0,2.4285714285714284,1.2478553029669974,1.0,1.0,3.0,3.0,5.0
9228,20.0,2.3,1.1285761872936695,1.0,1.0,2.0,3.0,4.0
9229,15.0,2.2,0.8618916073713347,1.0,1.5,2.0,3.0,3.0
9230,21.0,1.8095238095238095,0.9283882603225668,1.0,1.0,2.0,2.0,4.0
9231,19.0,2.1578947368421053,1.3849652179642493,1.0,1.0,2.0,3.0,6.0
9232,15.0,2.0,1.0690449676496976,1.0,1.0,2.0,3.0,4.0
9233,19.0,2.526315789473684,1.6789024540730166,1.0,1.0,2.0,3.0,6.0
9234,21.0,3.1904761904761907,1.470341716032284,1.0,2.0,3.0,4.0,6.0
9235,20.0,2.85,1.5985190514644287,1.0,1.75,2.5,4.0,6.0
9236,20.0,2.05,0.998683343734455,1.0,1.0,2.0,3.0,4.0
9237,19.0,2.473684210526316,1.6113631583445662,1.0,1.0,2.0,3.0,7.0
9238,19.0,1.7894736842105263,0.7873265148181359,1.0,1.0,2.0,2.0,3.0
9239,16.0,2.5625,1.0307764064044151,1.0,2.0,2.0,3.25,4.0
9240,16.0,3.4375,2.0320351046836436,1.0,1.0,4.0,5.25,6.0
9241,19.0,2.8947368421052633,1.9117977822546812,1.0,1.0,2.0,4.5,7.0
9242,22.0,2.3636363636363638,1.5289415743128765,1.0,1.0,2.0,3.0,6.0
9243,19.0,2.1578947368421053,1.5727950313140984,1.0,1.0,2.0,2.5,7.0
9244,19.0,2.0526315789473686,0.8481145238787243,1.0,1.5,2.0,2.5,4.0
9245,21.0,1.9047619047619047,0.9952267030562386,1.0,1.0,2.0,2.0,4.0
9246,19.0,2.3157894736842106,1.002919714242558,1.0,2.0,2.0,3.0,5.0
9247,15.0,1.6666666666666667,0.7237468644557459,1.0,1.0,2.0,2.0,3.0
9248,21.0,1.5238095238095237,0.8135752957807666,1.0,1.0,1.0,2.0,4.0
9249,18.0,1.6666666666666667,0.8401680504168059,1.0,1.0,1.5,2.0,4.0
9250,18.0,1.5555555555555556,0.7047921864945659,1.0,1.0,1.0,2.0,3.0
9251,18.0,1.9444444444444444,1.109966730938747,1.0,1.0,2.0,2.0,4.0
9252,18.0,1.8888888888888888,0.7583952786593615,1.0,1.0,2.0,2.0,3.0
9253,14.0,1.5,0.5188745216627708,1.0,1.0,1.5,2.0,2.0
9254,16.0,1.9375,0.5737304826019501,1.0,2.0,2.0,2.0,3.0
9255,20.0,2.05,2.235479461111784,1.0,1.0,1.5,2.0,11.0
9256,18.0,1.7222222222222223,0.8947924869885987,1.0,1.0,1.5,2.0,4.0
9257,17.0,2.0588235294117645,0.9663454503498038,1.0,1.0,2.0,3.0,4.0
9258,19.0,2.473684210526316,1.1722922015640782,1.0,2.0,2.0,3.0,5.0
9259,17.0,2.176470588235294,0.9510056596602791,1.0,2.0,2.0,3.0,4.0
9260,20.0,1.9,0.9119095061289915,1.0,1.0,2.0,2.25,4.0
9261,19.0,1.894736842105263,1.0485300208760657,1.0,1.0,2.0,2.5,4.0
9262,21.0,2.619047619047619,1.283596138829908,1.0,2.0,2.0,4.0,5.0
9263,20.0,1.7,1.080935267549162,1.0,1.0,1.0,2.25,4.0
9264,20.0,2.1,1.0711528467275957,1.0,1.0,2.0,3.0,5.0
9265,19.0,2.210526315789474,1.0841764600337107,1.0,1.0,2.0,3.0,5.0
9266,21.0,2.0952380952380953,1.0442586798663398,1.0,1.0,2.0,3.0,4.0
9267,16.0,1.8125,1.1086778913041726,1.0,1.0,1.5,2.0,5.0
9268,20.0,2.3,1.0809352675491624,1.0,1.0,2.0,3.0,4.0
9269,22.0,2.4545454545454546,1.3706888336846839,1.0,1.0,2.5,3.0,6.0
9270,16.0,2.1875,0.9810708435174292,1.0,1.0,2.0,3.0,4.0
9271,22.0,2.0454545454545454,1.2140947137789433,1.0,1.0,2.0,2.0,6.0
9272,21.0,2.4761904761904763,1.1670067531530237,1.0,2.0,2.0,3.0,5.0
9273,21.0,2.3333333333333335,1.0645812948447542,1.0,2.0,2.0,3.0,5.0
9274,18.0,3.111111111111111,1.6409785061104059,1.0,2.0,3.0,4.0,7.0
9275,23.0,2.347826086956522,1.1122743142757674,1.0,1.5,2.0,3.0,4.0
9276,14.0,2.7857142857142856,1.847183778644646,1.0,1.0,2.5,3.75,6.0
9277,22.0,3.272727272727273,1.485864128307904,1.0,2.0,3.0,4.0,6.0
9278,17.0,2.2941176470588234,1.2126781251816647,1.0,1.0,2.0,3.0,4.0
9279,21.0,2.9523809523809526,1.4309504001254016,1.0,2.0,3.0,4.0,6.0
9280,20.0,2.15,1.3088765773505313,1.0,1.0,2.0,3.0,5.0
9281,20.0,2.75,1.164157703189193,1.0,2.0,3.0,3.25,5.0
9282,20.0,2.4,1.3917047478769187,1.0,1.0,2.0,3.0,5.0
9283,21.0,1.9047619047619047,0.8890872794479688,1.0,1.0,2.0,2.0,4.0
9284,22.0,2.0454545454545454,1.1329385612423049,1.0,1.0,2.0,3.0,5.0
9285,23.0,8.956521739130435,4.31148846760885,2.0,5.5,9.0,11.5,19.0
9286,23.0,8.782608695652174,4.337537233155683,2.0,5.5,8.0,12.0,19.0
9287,23.0,6.826086956521739,3.773739089996497,2.0,3.0,7.0,9.0,15.0
9288,22.0,6.0,3.638419332360584,1.0,3.0,5.5,9.5,12.0
9289,23.0,6.565217391304348,3.641004943150645,1.0,4.0,6.0,8.5,15.0
9290,21.0,5.9523809523809526,3.2783561502098957,1.0,4.0,6.0,8.0,13.0
9291,23.0,9.695652173913043,5.2866451177273595,3.0,5.0,9.0,14.0,22.0
9292,23.0,8.130434782608695,4.644687559959687,1.0,4.0,9.0,10.5,16.0
9293,22.0,6.318181818181818,3.0920229721989556,1.0,4.0,6.0,9.0,12.0
9294,23.0,7.6521739130434785,4.416999142282564,1.0,3.0,8.0,11.0,15.0
9295,22.0,7.909090909090909,4.576431245383562,1.0,5.0,7.5,11.0,18.0
9296,23.0,7.521739130434782,4.1873137974057615,1.0,3.5,9.0,10.0,16.0
9297,23.0,9.217391304347826,5.2219512352718604,2.0,4.0,10.0,11.5,19.0
9298,22.0,2.5,1.3363062095621219,1.0,2.0,2.0,3.75,6.0
9299,21.0,2.238095238095238,1.374945886381057,1.0,1.0,2.0,3.0,5.0
9300,22.0,2.5,1.503963018795596,1.0,1.25,2.0,3.0,6.0
9301,21.0,1.7619047619047619,0.7003400534570263,1.0,1.0,2.0,2.0,3.0
9302,20.0,2.0,1.025978352085154,1.0,1.0,2.0,2.0,4.0
9303,20.0,1.5,0.8271701918685112,1.0,1.0,1.0,2.0,4.0
9304,22.0,1.8636363636363635,1.1668212637211672,1.0,1.0,1.5,2.0,5.0
9305,22.0,3.6363636363636362,1.3988244910316507,1.0,3.0,4.0,4.75,7.0
9306,22.0,3.1363636363636362,1.6986116051885978,1.0,1.0,3.5,4.0,6.0
9307,22.0,2.772727272727273,1.6015414652562276,1.0,1.25,2.5,4.0,6.0
9308,22.0,3.0454545454545454,1.6176783106919361,1.0,2.0,3.0,4.0,7.0
9309,23.0,2.739130434782609,1.2869057782967013,1.0,2.0,2.0,3.0,7.0
9310,20.0,2.85,1.2258187382102497,1.0,2.0,3.0,4.0,5.0
